observation_date,GDPPOT
03-01-1959,3350.148377
06-01-1959,3383.809953
09-01-1959,3419.804493
12-01-1959,3456.278305
03-01-1960,3493.325542
06-01-1960,3529.38783
09-01-1960,3564.886066
12-01-1960,3599.087586
03-01-1961,3632.680173
06-01-1961,3664.351592
09-01-1961,3697.145837
12-01-1961,3730.888343
03-01-1962,3767.211738
06-01-1962,3806.616356
09-01-1962,3848.40814
12-01-1962,3891.361104
03-01-1963,3934.344945
06-01-1963,3976.929057
09-01-1963,4019.352631
12-01-1963,4062.253653
03-01-1964,4105.386214
06-01-1964,4150.052763
09-01-1964,4195.65874
12-01-1964,4241.580675
03-01-1965,4288.630997
06-01-1965,4334.526483
09-01-1965,4381.851524
12-01-1965,4429.355723
03-01-1966,4477.400972
06-01-1966,4525.750945
09-01-1966,4574.953251
12-01-1966,4624.43624
03-01-1967,4675.704746
06-01-1967,4728.572529
09-01-1967,4782.648786
12-01-1967,4838.050221
03-01-1968,4893.538635
06-01-1968,4948.25601
09-01-1968,5003.474594
12-01-1968,5058.945297
03-01-1969,5112.73941
06-01-1969,5164.659538
09-01-1969,5213.1627
12-01-1969,5260.569982
03-01-1970,5305.972601
06-01-1970,5349.140051
09-01-1970,5391.127403
12-01-1970,5432.862072
03-01-1971,5476.136717
06-01-1971,5522.065266
09-01-1971,5569.532624
12-01-1971,5617.173967
03-01-1972,5663.707621
06-01-1972,5708.142257
09-01-1972,5751.400574
12-01-1972,5794.836986
03-01-1973,5839.515326
06-01-1973,5887.324044
09-01-1973,5936.729789
12-01-1973,5987.771228
03-01-1974,6039.644956
06-01-1974,6091.813817
09-01-1974,6143.175779
12-01-1974,6193.950644
03-01-1975,6243.688744
06-01-1975,6292.808538
09-01-1975,6341.59277
12-01-1975,6390.22425
03-01-1976,6438.193618
06-01-1976,6486.270795
09-01-1976,6535.427522
12-01-1976,6585.224886
03-01-1977,6637.004124
06-01-1977,6690.479
09-01-1977,6745.154755
12-01-1977,6801.571707
03-01-1978,6859.412031
06-01-1978,6918.216793
09-01-1978,6978.560672
12-01-1978,7040.228438
03-01-1979,7104.032112
06-01-1979,7165.884873
09-01-1979,7224.262717
12-01-1979,7278.140549
03-01-1980,7326.394112
06-01-1980,7367.99518
09-01-1980,7403.120921
12-01-1980,7440.202161
03-01-1981,7464.041263
06-01-1981,7511.001471
09-01-1981,7561.344362
12-01-1981,7614.916401
03-01-1982,7670.935786
06-01-1982,7728.749407
09-01-1982,7788.057417
12-01-1982,7848.88364
03-01-1983,7909.526732
06-01-1983,7971.56243
09-01-1983,8035.366219
12-01-1983,8101.78343
03-01-1984,8170.828575
06-01-1984,8242.474702
09-01-1984,8315.799056
12-01-1984,8390.357347
03-01-1985,8465.293021
06-01-1985,8540.41938
09-01-1985,8615.339004
12-01-1985,8689.681432
03-01-1986,8763.169215
06-01-1986,8835.903368
09-01-1986,8908.212172
12-01-1986,8980.832855
03-01-1987,9053.334811
06-01-1987,9125.620753
09-01-1987,9197.770225
12-01-1987,9270.501462
03-01-1988,9343.141538
06-01-1988,9416.313106
09-01-1988,9489.692044
12-01-1988,9563.580516
03-01-1989,9637.655055
06-01-1989,9711.862488
09-01-1989,9786.059985
12-01-1989,9860.011412
03-01-1990,9933.160668
06-01-1990,10005.191
09-01-1990,10075.35193
12-01-1990,10143.60708
03-01-1991,10210.3138
06-01-1991,10275.38433
09-01-1991,10339.40166
12-01-1991,10403.44307
03-01-1992,10467.53224
06-01-1992,10532.40179
09-01-1992,10598.61706
12-01-1992,10665.78356
03-01-1993,10733.96018
06-01-1993,10804.01648
09-01-1993,10875.16202
12-01-1993,10947.42502
03-01-1994,11020.72941
06-01-1994,11094.90679
09-01-1994,11170.74646
12-01-1994,11247.90841
03-01-1995,11325.93806
06-01-1995,11405.42678
09-01-1995,11485.86699
12-01-1995,11568.46189
03-01-1996,11652.86137
06-01-1996,11742.56188
09-01-1996,11838.76089
12-01-1996,11941.25553
03-01-1997,12049.81291
06-01-1997,12163.58429
09-01-1997,12282.93704
12-01-1997,12406.57853
03-01-1998,12533.99076
06-01-1998,12665.39293
09-01-1998,12799.21371
12-01-1998,12935.63458
03-01-1999,13074.75048
06-01-1999,13215.68444
09-01-1999,13358.46112
12-01-1999,13503.54349
03-01-2000,13649.99176
06-01-2000,13792.73614
09-01-2000,13929.502
12-01-2000,14059.35651
03-01-2001,14182.387
06-01-2001,14298.49751
09-01-2001,14407.70518
12-01-2001,14510.93506
03-01-2002,14608.73685
06-01-2002,14702.8967
09-01-2002,14795.13827
12-01-2002,14886.17624
03-01-2003,14977.19895
06-01-2003,15069.0265
09-01-2003,15161.01304
12-01-2003,15254.33442
03-01-2004,15349.3686
06-01-2004,15445.75949
09-01-2004,15544.0956
12-01-2004,15643.39944
03-01-2005,15740.36208
06-01-2005,15833.98635
09-01-2005,15925.48397
12-01-2005,16014.16822
03-01-2006,16099.61021
06-01-2006,16182.6442
09-01-2006,16261.61595
12-01-2006,16336.38318
03-01-2007,16413.08416
06-01-2007,16492.81313
09-01-2007,16575.36122
12-01-2007,16658.2616
03-01-2008,16741.83551
06-01-2008,16824.00846
09-01-2008,16903.75132
12-01-2008,16979.72738
03-01-2009,17050.23362
06-01-2009,17116.47772
09-01-2009,17178.97027
12-01-2009,17239.53132
03-01-2010,17300.29215
06-01-2010,17362.17218
09-01-2010,17426.50587
12-01-2010,17492.53719
03-01-2011,17560.4955
06-01-2011,17630.45708
09-01-2011,17702.57186
12-01-2011,17776.28839
03-01-2012,17851.54859
06-01-2012,17928.8843
09-01-2012,18007.78469
12-01-2012,18088.02803
03-01-2013,18170.17776
06-01-2013,18253.52756
09-01-2013,18337.599
12-01-2013,18422.91329
03-01-2014,18509.443
06-01-2014,18597.08684
09-01-2014,18686.78631
12-01-2014,18777.72656
03-01-2015,18869.77467
06-01-2015,18963.01626
09-01-2015,19056.83833
12-01-2015,19150.9692
03-01-2016,19245.2221
06-01-2016,19339.74405
09-01-2016,19434.06234
12-01-2016,19528.05803
03-01-2017,19622.17184
06-01-2017,19717.08385
09-01-2017,19814.50161
12-01-2017,19914.26761
03-01-2018,20016.54317
06-01-2018,20121.67138
09-01-2018,20228.12968
12-01-2018,20335.09873
03-01-2019,20443.03304
06-01-2019,20551.11493
09-01-2019,20658.99661
12-01-2019,20763.9792
03-01-2020,20867.2769
06-01-2020,20970.42195
09-01-2020,21071.76263
12-01-2020,21174.33034
03-01-2021,21277.70315
06-01-2021,21382.89835
09-01-2021,21493.01915
12-01-2021,21606.08076
03-01-2022,21722.0248
06-01-2022,21840.56636
09-01-2022,21961.53508
12-01-2022,22084.92536
03-01-2023,22208.24254
06-01-2023,22333.11239
09-01-2023,22459.74068
12-01-2023,22588.18459
03-01-2024,22718.13
06-01-2024,22849.87
09-01-2024,22981.32
12-01-2024,23113.34
03-01-2025,23243.22
06-01-2025,23376.07
